iter	Passed	Remaining
0	1	173
1	3	176
2	4	160
3	6	150
4	7	144
5	8	137
6	10	134
7	11	135
8	13	138
9	15	140
10	17	140
11	19	140
12	21	140
13	22	137
14	24	137
15	26	137
16	27	135
17	29	134
18	31	132
19	32	131
20	34	131
21	36	129
22	38	129
23	40	128
24	41	125
25	43	124
26	45	122
27	46	120
28	48	118
29	50	117
30	51	115
31	53	113
32	54	111
33	56	109
34	58	108
35	59	106
36	61	104
37	62	101
38	64	100
39	65	98
40	66	95
41	67	93
42	68	91
43	70	89
44	71	87
45	73	86
46	74	84
47	76	82
48	78	81
49	79	79
50	81	78
51	83	76
52	84	74
53	85	72
54	87	71
55	88	69
56	89	67
57	91	66
58	93	64
59	94	63
60	96	61
61	98	60
62	99	58
63	101	57
64	103	55
65	105	54
66	107	52
67	108	51
68	110	49
69	112	48
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	121	38
76	122	36
77	124	34
78	125	33
79	126	31
80	128	30
81	129	28
82	131	26
83	132	25
84	134	23
85	136	22
86	137	20
87	139	18
88	140	17
89	142	15
90	143	14
91	145	12
92	147	11
93	148	9
94	150	7
95	151	6
96	153	4
97	155	3
98	156	1
99	158	0
