iter	Passed	Remaining
0	137	136865
1	138	69156
2	140	46597
3	141	35319
4	144	28746
5	145	24170
6	147	20891
7	148	18443
8	151	16663
9	152	15119
10	154	13860
11	155	12815
12	157	11966
13	158	11198
14	162	10693
15	164	10113
16	165	9598
17	167	9127
18	168	8720
19	169	8327
20	171	7980
21	172	7671
22	173	7390
23	175	7130
24	176	6902
25	179	6708
26	180	6521
27	182	6322
28	183	6130
29	184	5958
30	185	5795
31	186	5651
32	188	5511
33	188	5367
34	189	5235
35	190	5112
36	192	5009
37	193	4896
38	195	4812
39	196	4712
40	197	4623
41	198	4532
42	199	4446
43	201	4370
44	202	4292
45	203	4217
46	204	4146
47	205	4079
48	206	4011
49	207	3951
50	208	3885
51	209	3824
52	210	3763
53	211	3711
54	212	3654
55	213	3599
56	214	3549
57	216	3515
58	217	3465
59	217	3413
60	218	3365
61	219	3319
62	220	3278
63	221	3237
64	223	3210
65	224	3176
66	225	3138
67	226	3103
68	227	3068
69	228	3034
70	229	3002
71	231	2980
72	232	2949
73	233	2917
74	234	2887
75	235	2857
76	236	2830
77	236	2798
78	238	2778
79	239	2752
80	240	2727
81	241	2702
82	241	2671
83	242	2647
84	243	2623
85	244	2600
86	245	2580
87	247	2561
88	248	2544
89	249	2521
90	250	2500
91	251	2480
92	252	2462
93	253	2447
94	254	2429
95	256	2412
96	257	2394
97	257	2374
98	258	2356
99	260	2341
100	261	2324
101	261	2306
102	262	2288
103	263	2269
104	264	2254
105	265	2237
106	266	2222
107	267	2205
108	268	2195
109	269	2179
110	270	2162
111	270	2146
112	271	2134
113	272	2121
114	273	2107
115	275	2097
116	276	2083
117	277	2071
118	278	2061
119	279	2049
120	280	2038
121	281	2025
122	282	2014
123	283	2004
124	284	1993
125	285	1983
126	286	1971
127	288	1964
128	289	1955
129	290	1946
130	292	1938
131	293	1928
132	294	1917
133	295	1909
134	296	1899
135	297	1889
136	299	1884
137	300	1878
138	301	1868
139	302	1859
140	303	1850
141	304	1839
142	305	1832
143	307	1825
144	308	1817
145	309	1808
146	309	1798
147	310	1789
148	311	1780
149	312	1772
150	314	1767
151	315	1760
152	316	1752
153	317	1744
154	318	1735
155	319	1727
156	320	1718
157	321	1713
158	322	1705
159	323	1699
160	324	1691
161	325	1683
162	326	1675
163	327	1668
164	328	1663
165	329	1656
166	330	1650
167	331	1644
168	333	1637
169	333	1630
170	335	1625
171	336	1619
172	337	1614
173	338	1608
174	339	1601
175	340	1596
176	341	1589
177	343	1584
178	344	1579
179	345	1573
180	346	1568
181	347	1563
182	348	1557
183	349	1551
184	350	1545
185	352	1541
186	353	1535
187	354	1529
188	355	1524
189	356	1519
190	357	1514
191	358	1509
192	359	1504
193	360	1499
194	362	1494
195	363	1489
196	363	1483
197	364	1477
198	366	1473
199	367	1470
200	368	1465
201	369	1460
202	370	1455
203	371	1451
204	372	1445
205	374	1441
206	375	1438
207	376	1434
208	378	1430
209	379	1426
210	380	1422
211	381	1417
